Hardware allocated: cuda
STATERA PoC Temporal Tracking Training Started...
Epoch[3/50] | Train Batch[10/334] | Time (10 batches): 68.99s | Loss: 7.9524 (wH: 6.5079, wZ: 1.1090, wM: 13.3365)
Epoch[3/50] | Train Batch[20/334] | Time (10 batches): 69.09s | Loss: 9.0673 (wH: 6.9213, wZ: 1.4125, wM: 20.0472)
Epoch[3/50] | Train Batch[30/334] | Time (10 batches): 69.05s | Loss: 9.2430 (wH: 6.7911, wZ: 1.5402, wM: 22.9791)
Epoch[3/50] | Train Batch[40/334] | Time (10 batches): 69.05s | Loss: 8.4795 (wH: 6.7054, wZ: 0.9755, wM: 16.7660)
Epoch[3/50] | Train Batch[50/334] | Time (10 batches): 69.02s | Loss: 8.5855 (wH: 6.4389, wZ: 1.5489, wM: 19.9166)
Epoch[3/50] | Train Batch[60/334] | Time (10 batches): 69.04s | Loss: 8.5100 (wH: 6.5095, wZ: 1.4710, wM: 18.5341)
Epoch[3/50] | Train Batch[70/334] | Time (10 batches): 69.02s | Loss: 8.2932 (wH: 6.4866, wZ: 1.5080, wM: 16.5580)
Epoch[3/50] | Train Batch[80/334] | Time (10 batches): 69.03s | Loss: 8.7187 (wH: 6.6463, wZ: 1.3319, wM: 19.3915)
Epoch[3/50] | Train Batch[90/334] | Time (10 batches): 69.25s | Loss: 8.2128 (wH: 6.4326, wZ: 1.5816, wM: 16.2205)
Epoch[3/50] | Train Batch[100/334] | Time (10 batches): 69.20s | Loss: 8.3078 (wH: 6.6093, wZ: 1.1732, wM: 15.8117)
Epoch[3/50] | Train Batch[110/334] | Time (10 batches): 69.04s | Loss: 8.5344 (wH: 6.3567, wZ: 0.9827, wM: 20.7945)
Epoch[3/50] | Train Batch[120/334] | Time (10 batches): 69.06s | Loss: 8.1790 (wH: 6.7719, wZ: 0.8722, wM: 13.1991)
Epoch[3/50] | Train Batch[130/334] | Time (10 batches): 69.06s | Loss: 9.1254 (wH: 6.7787, wZ: 1.1430, wM: 22.3240)
